	bio_celltype
pdacb_cell_340	Ductal - MHC Class II
pdacb_cell_341	Ductal - terminal ductal like
pdacb_cell_342	Cancer
pdacb_cell_343	Ductal - terminal ductal like
pdacb_cell_344	Cancer
pdacb_cell_345	Ductal - terminal ductal like
pdacb_cell_346	Ductal - MHC Class II
pdacb_cell_347	Ductal - CRISP3 high
pdacb_cell_348	Ductal - terminal ductal like
pdacb_cell_349	Cancer
pdacb_cell_350	Ductal - CRISP3 high
pdacb_cell_351	Ductal - terminal ductal like
pdacb_cell_352	Ductal - terminal ductal like
pdacb_cell_353	Ductal - terminal ductal like
pdacb_cell_354	Ductal - CRISP3 high
pdacb_cell_355	Endothelial cells
pdacb_cell_356	Ductal - terminal ductal like
pdacb_cell_357	Ductal - terminal ductal like
pdacb_cell_358	Ductal - terminal ductal like
pdacb_cell_359	Ductal - CRISP3 high
pdacb_cell_360	Ductal - terminal ductal like
pdacb_cell_361	Ductal - MHC Class II
pdacb_cell_362	Ductal - terminal ductal like
pdacb_cell_363	Mast cells
pdacb_cell_364	Cancer
pdacb_cell_365	Cancer
pdacb_cell_366	Cancer
pdacb_cell_367	Cancer
pdacb_cell_368	Ductal - terminal ductal like
pdacb_cell_370	Ductal - terminal ductal like
pdacb_cell_371	Tuft cells
pdacb_cell_372	Ductal - terminal ductal like
pdacb_cell_373	Endothelial cells
pdacb_cell_374	Ductal - terminal ductal like
pdacb_cell_375	Endothelial cells
pdacb_cell_376	Endothelial cells
pdacb_cell_377	Ductal - MHC Class II
pdacb_cell_378	Ductal - terminal ductal like
pdacb_cell_379	Ductal - terminal ductal like
pdacb_cell_380	Endothelial cells
pdacb_cell_381	Cancer
pdacb_cell_382	Cancer
pdacb_cell_383	Tuft cells
pdacb_cell_384	Ductal - terminal ductal like
pdacb_cell_385	Ductal - terminal ductal like
pdacb_cell_386	Ductal - terminal ductal like
pdacb_cell_387	Ductal - terminal ductal like
pdacb_cell_388	Ductal - terminal ductal like
pdacb_cell_389	Cancer
pdacb_cell_390	Ductal - terminal ductal like
pdacb_cell_391	Cancer
pdacb_cell_392	Endothelial cells
pdacb_cell_393	Endothelial cells
pdacb_cell_394	Cancer
pdacb_cell_395	Ductal - terminal ductal like
pdacb_cell_396	Cancer
pdacb_cell_397	Cancer
pdacb_cell_398	Ductal - terminal ductal like
pdacb_cell_399	Ductal - terminal ductal like
pdacb_cell_400	Ductal - terminal ductal like
